,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,TRAVTIME,BLUEBOOK,TIF,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY,EDUCATION_<High School,EDUCATION_Bachelors,EDUCATION_Masters,EDUCATION_PhD,EDUCATION_z_High School,JOB_Clerical,JOB_Doctor,JOB_Home Maker,JOB_Lawyer,JOB_Manager,JOB_Professional,JOB_Student,JOB_UNKNOW,JOB_z_Blue Collar,CAR_USE_Commercial,CAR_USE_Private,CAR_TYPE_Minivan,CAR_TYPE_Panel Truck,CAR_TYPE_Pickup,CAR_TYPE_Sports Car,CAR_TYPE_Van,CAR_TYPE_z_SUV,TARGET_FLAG
0,0,48.0,0,0.4782608695652174,0.1440781407514372,0,0.0,0,1,0.1532846715328467,0.2999706916764361,0.0,1,0.0,0.0,0,0.15384615384615385,10.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1,1,40.0,1,0.4782608695652174,0.13844917309211782,1,0.0,0,1,0.11678832116788322,0.25542203985932005,0.20833333333333334,0,0.05776951803215456,0.2,0,0.15384615384615385,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
2,0,44.0,2,0.5217391304347826,0.11848077813802686,1,0.0,0,0,0.18248175182481752,0.06447831184056273,0.37499999999999994,0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
3,0,35.0,2,0.45649071143680775,0.05777184426341171,1,0.0,0,1,0.5036496350364964,0.11327667057444314,0.20833333333333334,0,0.0,0.0,1,0.0,4.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4,0,59.0,0,0.5217391304347826,0.23829114786257255,0,0.0,0,1,0.291970802919708,0.20398593200468934,0.0,1,0.7864544067885758,0.4,0,0.3076923076923077,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
5,0,46.0,0,0.6086956521739131,0.16864587256792493,0,0.23441005239008586,1,1,0.014598540145985404,0.3540445486518171,0.0,0,0.0371513228255343,0.2,0,0.15384615384615385,12.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
6,0,60.0,0,0.5217391304347826,0.10337029670599134,0,0.2064189715819366,1,0,0.08029197080291971,0.14346424384525203,0.0,0,0.0,0.0,0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
7,0,54.0,0,0.5217391304347826,0.09048851592512874,0,0.17896218380131979,1,1,0.1605839416058394,0.3297186400937866,0.125,0,0.0,0.0,0,0.38461538461538464,8.32832309502026,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
8,2,36.0,2,0.5217391304347826,0.35566574939378254,1,0.3887970160920475,0,0,0.0,0.37661195779601403,0.125,0,0.0,0.0,0,0.0,9.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
9,0,50.0,0,0.34782608695652173,0.4562815028744244,0,0.0,0,0,0.12408759124087591,0.47845838218053927,0.125,0,0.0,0.0,0,0.23076923076923078,1.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10,0,42.0,0,0.45649071143680775,0.144369670054219,0,0.19911734340018208,1,1,0.1386861313868613,0.3216588511137163,0.0,0,0.0,0.0,0,0.15384615384615385,11.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
